iter	RMSE
0	20594.55898
1	18694.30919
2	16999.18158
3	15483.38287
4	14131.63526
5	12933.36721
6	11879.91989
7	10951.41779
8	10151.38817
9	9422.134141
10	8783.762389
11	8224.162078
12	7757.191378
13	7330.185826
14	6952.168084
15	6635.299385
16	6361.206135
17	6124.734357
18	5932.402291
19	5763.444588
20	5615.337723
21	5495.234388
22	5398.279106
23	5307.419052
24	5223.344495
25	5147.389579
26	5090.509398
27	5040.97675
28	4995.97088
29	4940.995597
30	4896.925034
31	4864.941361
32	4839.617033
33	4819.568761
34	4785.533589
35	4762.611892
36	4735.743846
37	4716.525384
38	4702.121777
39	4688.169179
40	4670.281221
41	4646.859568
42	4634.404843
43	4625.185998
44	4617.35673
45	4608.276828
46	4590.824193
47	4583.680565
48	4576.806674
49	4566.047789
50	4557.542749
51	4548.027488
52	4535.247204
53	4528.839775
54	4519.612092
55	4510.597645
56	4506.610911
57	4503.139928
58	4494.350033
59	4483.10795
60	4474.020502
61	4463.760137
62	4453.148921
63	4445.684126
64	4438.755316
65	4432.547166
66	4426.216507
67	4415.205292
68	4408.204939
69	4400.124519
70	4396.899001
71	4391.035685
72	4386.61188
73	4382.075295
74	4378.093001
75	4370.242347
76	4359.829802
77	4350.028758
78	4345.434273
79	4338.535686
80	4329.236264
81	4322.384405
82	4320.30257
83	4318.026856
84	4310.561437
85	4304.952407
86	4297.073956
87	4293.36016
88	4287.793059
89	4285.277499
90	4281.91639
91	4276.698859
92	4267.805315
93	4259.643826
94	4252.503528
95	4245.215126
96	4239.39059
97	4236.207303
98	4230.264126
99	4226.319888
100	4220.324517
101	4216.488943
102	4214.572711
103	4210.791007
104	4207.024772
105	4199.798113
106	4195.66467
107	4193.129286
108	4188.728119
109	4182.970781
110	4180.453725
111	4178.409717
112	4176.911665
113	4170.745801
114	4167.408074
115	4165.833039
116	4159.395875
117	4157.240784
118	4155.660062
119	4153.822432
120	4148.556691
121	4143.293634
122	4139.091414
123	4131.323004
124	4126.530935
125	4123.425491
126	4120.422823
127	4115.289978
128	4111.49629
129	4110.319035
130	4107.59797
131	4102.933525
132	4097.461759
133	4092.662683
134	4087.392786
135	4085.7451
136	4084.629941
137	4082.679561
138	4081.383137
139	4079.262034
140	4075.814033
141	4070.756701
142	4069.467096
143	4066.490273
144	4063.152699
145	4060.359554
146	4054.058056
147	4051.792552
148	4050.128321
149	4042.032634
150	4039.269277
151	4035.869291
152	4034.730442
153	4033.148838
154	4030.365268
155	4028.616437
156	4027.1853
157	4022.783667
158	4018.268824
159	4012.784114
160	4010.140887
161	4006.959586
162	4005.898876
163	4001.313063
164	3998.95618
165	3994.871505
166	3993.419647
167	3988.738132
168	3984.949229
169	3981.5303
170	3979.488992
171	3978.178695
172	3975.705833
173	3973.070178
174	3969.559777
175	3966.51501
176	3965.777829
177	3963.026089
178	3958.981739
179	3954.533977
180	3951.458769
181	3950.131963
182	3948.815502
183	3946.972502
184	3943.584842
185	3941.848629
186	3939.193156
187	3936.385412
188	3935.089287
189	3934.414177
190	3932.452987
191	3930.647261
192	3927.463916
193	3923.96517
194	3921.709031
195	3920.176841
196	3919.372489
197	3916.641909
198	3914.434432
199	3909.150715
