iter	Passed	Remaining
0	6	1383
1	11	1187
2	16	1114
3	21	1076
4	27	1062
5	32	1046
6	36	1007
7	40	983
8	44	945
9	49	945
10	54	937
11	59	934
12	63	912
13	68	908
14	73	905
15	78	903
16	83	899
17	88	894
18	93	889
19	98	885
20	103	880
21	108	876
22	113	870
23	118	866
24	123	862
25	128	857
26	132	851
27	137	847
28	143	843
29	148	840
30	153	835
31	158	831
32	163	827
33	168	820
34	173	815
35	178	810
36	183	807
37	188	803
38	193	798
39	198	793
40	203	789
41	208	785
42	213	780
43	218	775
44	223	769
45	228	765
46	233	761
47	238	756
48	243	751
49	248	746
50	254	742
51	259	737
52	264	732
53	269	727
54	274	722
55	279	717
56	284	713
57	289	708
58	294	702
59	299	698
60	304	693
61	309	688
62	314	684
63	319	679
64	324	674
65	330	670
66	335	665
67	340	660
68	345	656
69	350	651
70	355	645
71	360	640
72	365	635
73	370	630
74	375	625
75	380	620
76	385	615
77	390	611
78	395	606
79	401	602
80	406	597
81	411	592
82	416	587
83	421	581
84	426	576
85	431	571
86	436	566
87	441	562
88	446	556
89	451	551
90	456	546
91	461	541
92	466	536
93	472	532
94	477	527
95	482	522
96	487	518
97	493	513
98	498	508
99	503	503
100	508	498
101	513	493
102	518	488
103	523	483
104	528	478
105	533	473
106	539	468
107	543	463
108	549	458
109	554	453
110	559	448
111	563	443
112	568	437
113	573	432
114	578	427
115	583	422
116	589	417
117	594	412
118	598	407
119	603	402
120	609	397
121	614	392
122	619	387
123	624	382
124	629	377
125	634	372
126	639	367
127	644	362
128	649	357
129	654	352
130	659	347
131	664	342
132	669	337
133	675	332
134	680	327
135	684	322
136	689	317
137	694	311
138	699	306
139	704	301
140	708	296
141	714	291
142	719	286
143	724	281
144	729	276
145	734	271
146	739	266
147	744	261
148	749	256
149	754	251
150	759	246
151	764	241
152	769	236
153	774	231
154	779	226
155	784	221
156	789	216
157	794	211
158	799	206
159	804	201
160	809	196
161	814	191
162	819	186
163	824	180
164	829	175
165	834	170
166	839	165
167	845	160
168	850	156
169	855	150
170	860	145
171	865	140
172	870	135
173	875	130
174	880	125
175	885	120
176	890	115
177	895	110
178	900	105
179	905	100
180	910	95
181	915	90
182	920	85
183	925	80
184	930	75
185	935	70
186	940	65
187	945	60
188	950	55
189	954	50
190	960	45
191	964	40
192	970	35
193	975	30
194	980	25
195	985	20
196	990	15
197	995	10
198	1000	5
199	1005	0
