iter	RMSE
0	12345.63379
1	7703.661013
2	5786.814395
3	5134.00895
4	4887.568688
5	4683.061089
6	4581.165969
7	4538.460473
8	4509.102496
9	4425.805845
10	4402.653359
11	4355.299464
12	4329.841203
13	4295.868484
14	4245.929492
15	4193.73558
16	4162.918709
17	4134.766011
18	4123.474841
19	4108.807834
20	4088.013677
21	4069.146809
22	4032.270766
23	4013.958141
24	3973.080526
25	3954.607278
26	3949.136672
27	3939.95937
28	3914.405029
29	3890.736645
30	3860.05104
31	3848.448325
32	3839.854323
33	3834.193601
34	3820.075165
35	3809.464671
36	3794.124244
37	3781.111835
38	3766.746697
39	3756.928162
40	3742.839285
41	3722.84678
42	3712.227577
43	3700.468612
44	3696.384859
45	3692.466288
46	3674.734607
47	3668.675193
48	3655.602701
49	3640.702652
50	3624.064934
51	3610.929859
52	3600.991862
53	3592.907244
54	3584.926274
55	3574.173175
56	3564.358835
57	3552.824414
58	3549.547311
59	3543.869114
60	3530.285489
61	3523.283178
62	3510.426032
63	3500.926682
64	3489.220637
65	3484.545261
66	3481.45585
67	3473.334715
68	3469.652434
69	3465.70048
70	3459.968124
71	3451.975456
72	3439.554154
73	3425.454053
74	3418.302681
75	3411.408822
76	3407.564648
77	3402.04084
78	3396.555021
79	3393.259617
80	3383.600993
81	3374.041309
82	3367.208106
83	3358.816667
84	3349.228913
85	3341.458645
86	3337.991152
87	3330.007171
88	3326.291017
89	3316.02528
90	3310.448408
91	3300.238868
92	3295.913482
93	3287.549358
94	3283.824072
95	3278.108075
96	3273.961974
97	3269.643102
98	3263.182527
99	3261.178665
