iter	Passed	Remaining
0	64	6412
1	70	3446
2	75	2439
3	81	1947
4	86	1640
5	91	1429
6	96	1283
7	101	1169
8	106	1079
9	111	1005
10	116	942
11	121	893
12	126	849
13	131	809
14	136	774
15	142	748
16	147	719
17	152	696
18	157	671
19	162	650
20	167	630
21	172	610
22	177	594
23	182	577
24	187	562
25	192	547
26	197	532
27	202	520
28	207	507
29	212	495
30	217	484
31	222	473
32	227	462
33	232	451
34	238	442
35	243	432
36	248	422
37	253	413
38	260	407
39	265	398
40	271	390
41	277	382
42	282	374
43	287	365
44	292	357
45	297	348
46	302	341
47	307	333
48	313	325
49	318	318
50	323	310
51	328	303
52	333	295
53	338	288
54	343	281
55	348	274
56	354	267
57	359	260
58	364	253
59	369	246
60	375	240
61	380	233
62	386	226
63	391	220
64	396	213
65	401	207
66	407	200
67	413	194
68	419	188
69	424	181
70	429	175
71	435	169
72	440	162
73	446	156
74	452	150
75	458	144
76	463	138
77	468	132
78	474	126
79	478	119
80	484	113
81	489	107
82	494	101
83	500	95
84	505	89
85	510	83
86	514	76
87	519	70
88	524	64
89	530	58
90	535	52
91	541	47
92	546	41
93	551	35
94	556	29
95	561	23
96	566	17
97	572	11
98	577	5
99	583	0
